SCATS Number,Date,IntervalNum,Flow,Hour
970,2006-10-01,0,262,0
970,2006-10-01,1,248,0
970,2006-10-01,2,199,0
970,2006-10-01,3,176,0
970,2006-10-01,4,177,1
970,2006-10-01,5,142,1
970,2006-10-01,6,119,1
970,2006-10-01,7,101,1
970,2006-10-01,8,85,2
970,2006-10-01,9,78,2
970,2006-10-01,10,75,2
970,2006-10-01,11,74,2
970,2006-10-01,12,74,3
970,2006-10-01,13,81,3
970,2006-10-01,14,58,3
970,2006-10-01,15,47,3
970,2006-10-01,16,61,4
970,2006-10-01,17,62,4
970,2006-10-01,18,55,4
970,2006-10-01,19,40,4
970,2006-10-01,20,47,5
970,2006-10-01,21,58,5
970,2006-10-01,22,60,5
970,2006-10-01,23,78,5
970,2006-10-01,24,66,6
970,2006-10-01,25,109,6
970,2006-10-01,26,180,6
970,2006-10-01,27,140,6
970,2006-10-01,28,137,7
970,2006-10-01,29,162,7
970,2006-10-01,30,201,7
970,2006-10-01,31,212,7
970,2006-10-01,32,200,8
970,2006-10-01,33,249,8
970,2006-10-01,34,304,8
970,2006-10-01,35,376,8
970,2006-10-01,36,410,9
970,2006-10-01,37,424,9
970,2006-10-01,38,593,9
970,2006-10-01,39,649,9
970,2006-10-01,40,663,10
970,2006-10-01,41,726,10
970,2006-10-01,42,750,10
970,2006-10-01,43,744,10
970,2006-10-01,44,785,11
970,2006-10-01,45,822,11
970,2006-10-01,46,850,11
970,2006-10-01,47,926,11
970,2006-10-01,48,996,12
970,2006-10-01,49,967,12
970,2006-10-01,50,880,12
970,2006-10-01,51,912,12
970,2006-10-01,52,933,13
970,2006-10-01,53,885,13
970,2006-10-01,54,820,13
970,2006-10-01,55,865,13
970,2006-10-01,56,961,14
970,2006-10-01,57,839,14
970,2006-10-01,58,816,14
970,2006-10-01,59,805,14
970,2006-10-01,60,821,15
970,2006-10-01,61,787,15
970,2006-10-01,62,828,15
970,2006-10-01,63,800,15
970,2006-10-01,64,791,16
970,2006-10-01,65,897,16
970,2006-10-01,66,887,16
970,2006-10-01,67,898,16
970,2006-10-01,68,911,17
970,2006-10-01,69,960,17
970,2006-10-01,70,861,17
970,2006-10-01,71,826,17
970,2006-10-01,72,757,18
970,2006-10-01,73,704,18
970,2006-10-01,74,614,18
970,2006-10-01,75,531,18
970,2006-10-01,76,532,19
970,2006-10-01,77,446,19
970,2006-10-01,78,427,19
970,2006-10-01,79,400,19
970,2006-10-01,80,378,20
970,2006-10-01,81,333,20
970,2006-10-01,82,309,20
970,2006-10-01,83,308,20
970,2006-10-01,84,378,21
970,2006-10-01,85,344,21
970,2006-10-01,86,300,21
970,2006-10-01,87,292,21
970,2006-10-01,88,257,22
970,2006-10-01,89,216,22
970,2006-10-01,90,200,22
970,2006-10-01,91,173,22
970,2006-10-01,92,153,23
970,2006-10-01,93,134,23
970,2006-10-01,94,105,23
970,2006-10-01,95,111,23
970,2006-10-02,0,88,0
970,2006-10-02,1,64,0
970,2006-10-02,2,47,0
970,2006-10-02,3,43,0
970,2006-10-02,4,37,1
970,2006-10-02,5,29,1
970,2006-10-02,6,24,1
970,2006-10-02,7,28,1
970,2006-10-02,8,32,2
970,2006-10-02,9,29,2
970,2006-10-02,10,25,2
970,2006-10-02,11,19,2
970,2006-10-02,12,14,3
970,2006-10-02,13,26,3
970,2006-10-02,14,25,3
970,2006-10-02,15,20,3
970,2006-10-02,16,28,4
970,2006-10-02,17,37,4
970,2006-10-02,18,50,4
970,2006-10-02,19,41,4
970,2006-10-02,20,61,5
970,2006-10-02,21,71,5
970,2006-10-02,22,116,5
970,2006-10-02,23,159,5
970,2006-10-02,24,208,6
970,2006-10-02,25,341,6
970,2006-10-02,26,531,6
970,2006-10-02,27,584,6
970,2006-10-02,28,763,7
970,2006-10-02,29,1083,7
970,2006-10-02,30,1178,7
970,2006-10-02,31,1268,7
970,2006-10-02,32,1314,8
970,2006-10-02,33,1228,8
970,2006-10-02,34,1281,8
970,2006-10-02,35,1142,8
970,2006-10-02,36,967,9
970,2006-10-02,37,892,9
970,2006-10-02,38,825,9
970,2006-10-02,39,825,9
970,2006-10-02,40,740,10
970,2006-10-02,41,791,10
970,2006-10-02,42,785,10
970,2006-10-02,43,758,10
970,2006-10-02,44,728,11
970,2006-10-02,45,734,11
970,2006-10-02,46,754,11
970,2006-10-02,47,814,11
970,2006-10-02,48,829,12
970,2006-10-02,49,765,12
970,2006-10-02,50,742,12
970,2006-10-02,51,770,12
970,2006-10-02,52,752,13
970,2006-10-02,53,827,13
970,2006-10-02,54,812,13
970,2006-10-02,55,789,13
970,2006-10-02,56,808,14
970,2006-10-02,57,826,14
970,2006-10-02,58,856,14
970,2006-10-02,59,884,14
970,2006-10-02,60,894,15
970,2006-10-02,61,952,15
970,2006-10-02,62,977,15
970,2006-10-02,63,1060,15
970,2006-10-02,64,1102,16
970,2006-10-02,65,1138,16
970,2006-10-02,66,1096,16
970,2006-10-02,67,1090,16
970,2006-10-02,68,1104,17
970,2006-10-02,69,1276,17
970,2006-10-02,70,1232,17
970,2006-10-02,71,1289,17
970,2006-10-02,72,1097,18
970,2006-10-02,73,1124,18
970,2006-10-02,74,900,18
970,2006-10-02,75,734,18
970,2006-10-02,76,737,19
970,2006-10-02,77,650,19
970,2006-10-02,78,560,19
970,2006-10-02,79,515,19
970,2006-10-02,80,443,20
970,2006-10-02,81,423,20
970,2006-10-02,82,398,20
970,2006-10-02,83,419,20
970,2006-10-02,84,370,21
970,2006-10-02,85,318,21
970,2006-10-02,86,320,21
970,2006-10-02,87,331,21
970,2006-10-02,88,319,22
970,2006-10-02,89,277,22
970,2006-10-02,90,210,22
970,2006-10-02,91,172,22
970,2006-10-02,92,190,23
970,2006-10-02,93,145,23
970,2006-10-02,94,133,23
970,2006-10-02,95,72,23
970,2006-10-03,0,64,0
970,2006-10-03,1,74,0
970,2006-10-03,2,58,0
970,2006-10-03,3,37,0
970,2006-10-03,4,33,1
970,2006-10-03,5,35,1
970,2006-10-03,6,29,1
970,2006-10-03,7,33,1
970,2006-10-03,8,29,2
970,2006-10-03,9,20,2
970,2006-10-03,10,26,2
970,2006-10-03,11,13,2
970,2006-10-03,12,17,3
970,2006-10-03,13,19,3
970,2006-10-03,14,25,3
970,2006-10-03,15,27,3
970,2006-10-03,16,29,4
970,2006-10-03,17,28,4
970,2006-10-03,18,47,4
970,2006-10-03,19,40,4
970,2006-10-03,20,55,5
970,2006-10-03,21,82,5
970,2006-10-03,22,122,5
970,2006-10-03,23,227,5
970,2006-10-03,24,276,6
970,2006-10-03,25,422,6
970,2006-10-03,26,566,6
970,2006-10-03,27,710,6
970,2006-10-03,28,884,7
970,2006-10-03,29,1054,7
970,2006-10-03,30,1226,7
970,2006-10-03,31,1255,7
970,2006-10-03,32,1288,8
970,2006-10-03,33,1274,8
970,2006-10-03,34,1269,8
970,2006-10-03,35,1246,8
970,2006-10-03,36,1089,9
970,2006-10-03,37,983,9
970,2006-10-03,38,959,9
970,2006-10-03,39,866,9
970,2006-10-03,40,804,10
970,2006-10-03,41,832,10
970,2006-10-03,42,858,10
970,2006-10-03,43,786,10
970,2006-10-03,44,819,11
970,2006-10-03,45,828,11
970,2006-10-03,46,820,11
970,2006-10-03,47,797,11
970,2006-10-03,48,852,12
970,2006-10-03,49,786,12
970,2006-10-03,50,847,12
970,2006-10-03,51,813,12
970,2006-10-03,52,820,13
970,2006-10-03,53,792,13
970,2006-10-03,54,840,13
970,2006-10-03,55,821,13
970,2006-10-03,56,837,14
970,2006-10-03,57,1101,14
970,2006-10-03,58,870,14
970,2006-10-03,59,888,14
970,2006-10-03,60,997,15
970,2006-10-03,61,1014,15
970,2006-10-03,62,1012,15
970,2006-10-03,63,1090,15
970,2006-10-03,64,1173,16
970,2006-10-03,65,1163,16
970,2006-10-03,66,1197,16
970,2006-10-03,67,1144,16
970,2006-10-03,68,1209,17
970,2006-10-03,69,1206,17
970,2006-10-03,70,1257,17
970,2006-10-03,71,1277,17
970,2006-10-03,72,1178,18
970,2006-10-03,73,1206,18
970,2006-10-03,74,983,18
970,2006-10-03,75,878,18
970,2006-10-03,76,813,19
970,2006-10-03,77,767,19
970,2006-10-03,78,586,19
970,2006-10-03,79,530,19
970,2006-10-03,80,505,20
970,2006-10-03,81,455,20
970,2006-10-03,82,414,20
970,2006-10-03,83,431,20
970,2006-10-03,84,434,21
970,2006-10-03,85,452,21
970,2006-10-03,86,397,21
970,2006-10-03,87,389,21
970,2006-10-03,88,345,22
970,2006-10-03,89,278,22
970,2006-10-03,90,293,22
970,2006-10-03,91,265,22
970,2006-10-03,92,231,23
970,2006-10-03,93,178,23
970,2006-10-03,94,134,23
970,2006-10-03,95,112,23
970,2006-10-04,0,70,0
970,2006-10-04,1,64,0
970,2006-10-04,2,66,0
970,2006-10-04,3,33,0
970,2006-10-04,4,42,1
970,2006-10-04,5,27,1
970,2006-10-04,6,30,1
970,2006-10-04,7,24,1
970,2006-10-04,8,19,2
970,2006-10-04,9,23,2
970,2006-10-04,10,24,2
970,2006-10-04,11,11,2
970,2006-10-04,12,15,3
970,2006-10-04,13,12,3
970,2006-10-04,14,17,3
970,2006-10-04,15,22,3
970,2006-10-04,16,26,4
970,2006-10-04,17,31,4
970,2006-10-04,18,38,4
970,2006-10-04,19,28,4
970,2006-10-04,20,45,5
970,2006-10-04,21,80,5
970,2006-10-04,22,130,5
970,2006-10-04,23,184,5
970,2006-10-04,24,238,6
970,2006-10-04,25,385,6
970,2006-10-04,26,543,6
970,2006-10-04,27,625,6
970,2006-10-04,28,716,7
970,2006-10-04,29,905,7
970,2006-10-04,30,923,7
970,2006-10-04,31,1049,7
970,2006-10-04,32,1011,8
970,2006-10-04,33,976,8
970,2006-10-04,34,1045,8
970,2006-10-04,35,1009,8
970,2006-10-04,36,893,9
970,2006-10-04,37,791,9
970,2006-10-04,38,768,9
970,2006-10-04,39,787,9
970,2006-10-04,40,703,10
970,2006-10-04,41,633,10
970,2006-10-04,42,713,10
970,2006-10-04,43,740,10
970,2006-10-04,44,712,11
970,2006-10-04,45,662,11
970,2006-10-04,46,636,11
970,2006-10-04,47,608,11
970,2006-10-04,48,689,12
970,2006-10-04,49,700,12
970,2006-10-04,50,658,12
970,2006-10-04,51,675,12
970,2006-10-04,52,673,13
970,2006-10-04,53,663,13
970,2006-10-04,54,710,13
970,2006-10-04,55,689,13
970,2006-10-04,56,652,14
970,2006-10-04,57,650,14
970,2006-10-04,58,665,14
970,2006-10-04,59,689,14
970,2006-10-04,60,777,15
970,2006-10-04,61,772,15
970,2006-10-04,62,768,15
970,2006-10-04,63,818,15
970,2006-10-04,64,852,16
970,2006-10-04,65,909,16
970,2006-10-04,66,779,16
970,2006-10-04,67,911,16
970,2006-10-04,68,858,17
970,2006-10-04,69,917,17
970,2006-10-04,70,1031,17
970,2006-10-04,71,870,17
970,2006-10-04,72,897,18
970,2006-10-04,73,841,18
970,2006-10-04,74,732,18
970,2006-10-04,75,727,18
970,2006-10-04,76,605,19
970,2006-10-04,77,571,19
970,2006-10-04,78,493,19
970,2006-10-04,79,452,19
970,2006-10-04,80,360,20
970,2006-10-04,81,400,20
970,2006-10-04,82,362,20
970,2006-10-04,83,342,20
970,2006-10-04,84,326,21
970,2006-10-04,85,363,21
970,2006-10-04,86,308,21
970,2006-10-04,87,278,21
970,2006-10-04,88,311,22
970,2006-10-04,89,239,22
970,2006-10-04,90,230,22
970,2006-10-04,91,205,22
970,2006-10-04,92,204,23
970,2006-10-04,93,162,23
970,2006-10-04,94,125,23
970,2006-10-04,95,97,23
970,2006-10-05,0,112,0
970,2006-10-05,1,110,0
970,2006-10-05,2,67,0
970,2006-10-05,3,43,0
970,2006-10-05,4,43,1
970,2006-10-05,5,43,1
970,2006-10-05,6,46,1
970,2006-10-05,7,42,1
970,2006-10-05,8,24,2
970,2006-10-05,9,27,2
970,2006-10-05,10,22,2
970,2006-10-05,11,23,2
970,2006-10-05,12,15,3
970,2006-10-05,13,14,3
970,2006-10-05,14,27,3
970,2006-10-05,15,18,3
970,2006-10-05,16,41,4
970,2006-10-05,17,35,4
970,2006-10-05,18,45,4
970,2006-10-05,19,46,4
970,2006-10-05,20,65,5
970,2006-10-05,21,79,5
970,2006-10-05,22,124,5
970,2006-10-05,23,185,5
970,2006-10-05,24,259,6
970,2006-10-05,25,380,6
970,2006-10-05,26,570,6
970,2006-10-05,27,642,6
970,2006-10-05,28,734,7
970,2006-10-05,29,1007,7
970,2006-10-05,30,1164,7
970,2006-10-05,31,1174,7
970,2006-10-05,32,1233,8
970,2006-10-05,33,1310,8
970,2006-10-05,34,1229,8
970,2006-10-05,35,952,8
970,2006-10-05,36,1081,9
970,2006-10-05,37,1030,9
970,2006-10-05,38,927,9
970,2006-10-05,39,913,9
970,2006-10-05,40,830,10
970,2006-10-05,41,816,10
970,2006-10-05,42,834,10
970,2006-10-05,43,824,10
970,2006-10-05,44,833,11
970,2006-10-05,45,924,11
970,2006-10-05,46,854,11
970,2006-10-05,47,871,11
970,2006-10-05,48,876,12
970,2006-10-05,49,797,12
970,2006-10-05,50,873,12
970,2006-10-05,51,831,12
970,2006-10-05,52,873,13
970,2006-10-05,53,799,13
970,2006-10-05,54,872,13
970,2006-10-05,55,892,13
970,2006-10-05,56,894,14
970,2006-10-05,57,939,14
970,2006-10-05,58,865,14
970,2006-10-05,59,901,14
970,2006-10-05,60,1005,15
970,2006-10-05,61,1056,15
970,2006-10-05,62,1100,15
970,2006-10-05,63,1115,15
970,2006-10-05,64,1179,16
970,2006-10-05,65,1207,16
970,2006-10-05,66,1287,16
970,2006-10-05,67,1190,16
970,2006-10-05,68,1204,17
970,2006-10-05,69,1305,17
970,2006-10-05,70,1262,17
970,2006-10-05,71,1299,17
970,2006-10-05,72,1222,18
970,2006-10-05,73,1219,18
970,2006-10-05,74,1087,18
970,2006-10-05,75,938,18
970,2006-10-05,76,854,19
970,2006-10-05,77,833,19
970,2006-10-05,78,717,19
970,2006-10-05,79,658,19
970,2006-10-05,80,577,20
970,2006-10-05,81,507,20
970,2006-10-05,82,578,20
970,2006-10-05,83,565,20
970,2006-10-05,84,593,21
970,2006-10-05,85,562,21
970,2006-10-05,86,496,21
970,2006-10-05,87,412,21
970,2006-10-05,88,373,22
970,2006-10-05,89,350,22
970,2006-10-05,90,305,22
970,2006-10-05,91,303,22
970,2006-10-05,92,259,23
970,2006-10-05,93,205,23
970,2006-10-05,94,161,23
970,2006-10-05,95,145,23
970,2006-10-06,0,92,0
970,2006-10-06,1,102,0
970,2006-10-06,2,80,0
970,2006-10-06,3,49,0
970,2006-10-06,4,48,1
970,2006-10-06,5,43,1
970,2006-10-06,6,55,1
970,2006-10-06,7,42,1
970,2006-10-06,8,46,2
970,2006-10-06,9,28,2
970,2006-10-06,10,16,2
970,2006-10-06,11,29,2
970,2006-10-06,12,19,3
970,2006-10-06,13,30,3
970,2006-10-06,14,32,3
970,2006-10-06,15,30,3
970,2006-10-06,16,35,4
970,2006-10-06,17,32,4
970,2006-10-06,18,43,4
970,2006-10-06,19,49,4
970,2006-10-06,20,59,5
970,2006-10-06,21,85,5
970,2006-10-06,22,114,5
970,2006-10-06,23,197,5
970,2006-10-06,24,262,6
970,2006-10-06,25,406,6
970,2006-10-06,26,578,6
970,2006-10-06,27,682,6
970,2006-10-06,28,779,7
970,2006-10-06,29,972,7
970,2006-10-06,30,1196,7
970,2006-10-06,31,1206,7
970,2006-10-06,32,1228,8
970,2006-10-06,33,1242,8
970,2006-10-06,34,1189,8
970,2006-10-06,35,1224,8
970,2006-10-06,36,961,9
970,2006-10-06,37,972,9
970,2006-10-06,38,932,9
970,2006-10-06,39,884,9
970,2006-10-06,40,813,10
970,2006-10-06,41,794,10
970,2006-10-06,42,920,10
970,2006-10-06,43,812,10
970,2006-10-06,44,904,11
970,2006-10-06,45,842,11
970,2006-10-06,46,896,11
970,2006-10-06,47,949,11
970,2006-10-06,48,809,12
970,2006-10-06,49,831,12
970,2006-10-06,50,863,12
970,2006-10-06,51,793,12
970,2006-10-06,52,833,13
970,2006-10-06,53,938,13
970,2006-10-06,54,915,13
970,2006-10-06,55,917,13
970,2006-10-06,56,883,14
970,2006-10-06,57,945,14
970,2006-10-06,58,965,14
970,2006-10-06,59,968,14
970,2006-10-06,60,1063,15
970,2006-10-06,61,1095,15
970,2006-10-06,62,1145,15
970,2006-10-06,63,1169,15
970,2006-10-06,64,1159,16
970,2006-10-06,65,1244,16
970,2006-10-06,66,1170,16
970,2006-10-06,67,1238,16
970,2006-10-06,68,1243,17
970,2006-10-06,69,1283,17
970,2006-10-06,70,1293,17
970,2006-10-06,71,1297,17
970,2006-10-06,72,1250,18
970,2006-10-06,73,1243,18
970,2006-10-06,74,1132,18
970,2006-10-06,75,1012,18
970,2006-10-06,76,881,19
970,2006-10-06,77,889,19
970,2006-10-06,78,803,19
970,2006-10-06,79,694,19
970,2006-10-06,80,563,20
970,2006-10-06,81,511,20
970,2006-10-06,82,487,20
970,2006-10-06,83,505,20
970,2006-10-06,84,536,21
970,2006-10-06,85,588,21
970,2006-10-06,86,484,21
970,2006-10-06,87,388,21
970,2006-10-06,88,363,22
970,2006-10-06,89,392,22
970,2006-10-06,90,351,22
970,2006-10-06,91,329,22
970,2006-10-06,92,351,23
970,2006-10-06,93,312,23
970,2006-10-06,94,245,23
970,2006-10-06,95,260,23
970,2006-10-07,0,218,0
970,2006-10-07,1,188,0
970,2006-10-07,2,166,0
970,2006-10-07,3,146,0
970,2006-10-07,4,129,1
970,2006-10-07,5,117,1
970,2006-10-07,6,120,1
970,2006-10-07,7,88,1
970,2006-10-07,8,89,2
970,2006-10-07,9,68,2
970,2006-10-07,10,72,2
970,2006-10-07,11,71,2
970,2006-10-07,12,66,3
970,2006-10-07,13,75,3
970,2006-10-07,14,59,3
970,2006-10-07,15,48,3
970,2006-10-07,16,46,4
970,2006-10-07,17,52,4
970,2006-10-07,18,48,4
970,2006-10-07,19,48,4
970,2006-10-07,20,51,5
970,2006-10-07,21,73,5
970,2006-10-07,22,87,5
970,2006-10-07,23,104,5
970,2006-10-07,24,121,6
970,2006-10-07,25,193,6
970,2006-10-07,26,274,6
970,2006-10-07,27,268,6
970,2006-10-07,28,234,7
970,2006-10-07,29,297,7
970,2006-10-07,30,353,7
970,2006-10-07,31,502,7
970,2006-10-07,32,494,8
970,2006-10-07,33,562,8
970,2006-10-07,34,675,8
970,2006-10-07,35,824,8
970,2006-10-07,36,784,9
970,2006-10-07,37,802,9
970,2006-10-07,38,872,9
970,2006-10-07,39,897,9
970,2006-10-07,40,926,10
970,2006-10-07,41,956,10
970,2006-10-07,42,1026,10
970,2006-10-07,43,1017,10
970,2006-10-07,44,1089,11
970,2006-10-07,45,1020,11
970,2006-10-07,46,1025,11
970,2006-10-07,47,1127,11
970,2006-10-07,48,1104,12
970,2006-10-07,49,1145,12
970,2006-10-07,50,1139,12
970,2006-10-07,51,1100,12
970,2006-10-07,52,1078,13
970,2006-10-07,53,1012,13
970,2006-10-07,54,1083,13
970,2006-10-07,55,1073,13
970,2006-10-07,56,988,14
970,2006-10-07,57,1073,14
970,2006-10-07,58,1013,14
970,2006-10-07,59,915,14
970,2006-10-07,60,930,15
970,2006-10-07,61,956,15
970,2006-10-07,62,961,15
970,2006-10-07,63,974,15
970,2006-10-07,64,989,16
970,2006-10-07,65,971,16
970,2006-10-07,66,941,16
970,2006-10-07,67,985,16
970,2006-10-07,68,904,17
970,2006-10-07,69,1032,17
970,2006-10-07,70,980,17
970,2006-10-07,71,1034,17
970,2006-10-07,72,993,18
970,2006-10-07,73,973,18
970,2006-10-07,74,937,18
970,2006-10-07,75,813,18
970,2006-10-07,76,716,19
970,2006-10-07,77,694,19
970,2006-10-07,78,624,19
970,2006-10-07,79,514,19
970,2006-10-07,80,483,20
970,2006-10-07,81,407,20
970,2006-10-07,82,384,20
970,2006-10-07,83,404,20
970,2006-10-07,84,374,21
970,2006-10-07,85,384,21
970,2006-10-07,86,335,21
970,2006-10-07,87,372,21
970,2006-10-07,88,378,22
970,2006-10-07,89,313,22
970,2006-10-07,90,370,22
970,2006-10-07,91,356,22
970,2006-10-07,92,372,23
970,2006-10-07,93,382,23
970,2006-10-07,94,360,23
970,2006-10-07,95,362,23
970,2006-10-08,0,331,0
970,2006-10-08,1,294,0
970,2006-10-08,2,236,0
970,2006-10-08,3,190,0
970,2006-10-08,4,195,1
970,2006-10-08,5,169,1
970,2006-10-08,6,152,1
970,2006-10-08,7,126,1
970,2006-10-08,8,108,2
970,2006-10-08,9,94,2
970,2006-10-08,10,96,2
970,2006-10-08,11,78,2
970,2006-10-08,12,71,3
970,2006-10-08,13,66,3
970,2006-10-08,14,48,3
970,2006-10-08,15,60,3
970,2006-10-08,16,48,4
970,2006-10-08,17,57,4
970,2006-10-08,18,39,4
970,2006-10-08,19,47,4
970,2006-10-08,20,43,5
970,2006-10-08,21,52,5
970,2006-10-08,22,58,5
970,2006-10-08,23,77,5
970,2006-10-08,24,93,6
970,2006-10-08,25,108,6
970,2006-10-08,26,178,6
970,2006-10-08,27,209,6
970,2006-10-08,28,164,7
970,2006-10-08,29,188,7
970,2006-10-08,30,238,7
970,2006-10-08,31,241,7
970,2006-10-08,32,253,8
970,2006-10-08,33,318,8
970,2006-10-08,34,309,8
970,2006-10-08,35,397,8
970,2006-10-08,36,422,9
970,2006-10-08,37,487,9
970,2006-10-08,38,682,9
970,2006-10-08,39,688,9
970,2006-10-08,40,675,10
970,2006-10-08,41,740,10
970,2006-10-08,42,688,10
970,2006-10-08,43,809,10
970,2006-10-08,44,805,11
970,2006-10-08,45,900,11
970,2006-10-08,46,870,11
970,2006-10-08,47,991,11
970,2006-10-08,48,952,12
970,2006-10-08,49,1052,12
970,2006-10-08,50,973,12
970,2006-10-08,51,929,12
970,2006-10-08,52,917,13
970,2006-10-08,53,988,13
970,2006-10-08,54,947,13
970,2006-10-08,55,908,13
970,2006-10-08,56,952,14
970,2006-10-08,57,875,14
970,2006-10-08,58,892,14
970,2006-10-08,59,892,14
970,2006-10-08,60,878,15
970,2006-10-08,61,915,15
970,2006-10-08,62,820,15
970,2006-10-08,63,913,15
970,2006-10-08,64,791,16
970,2006-10-08,65,859,16
970,2006-10-08,66,878,16
970,2006-10-08,67,836,16
970,2006-10-08,68,933,17
970,2006-10-08,69,866,17
970,2006-10-08,70,946,17
970,2006-10-08,71,777,17
970,2006-10-08,72,733,18
970,2006-10-08,73,734,18
970,2006-10-08,74,596,18
970,2006-10-08,75,551,18
970,2006-10-08,76,500,19
970,2006-10-08,77,449,19
970,2006-10-08,78,386,19
970,2006-10-08,79,384,19
970,2006-10-08,80,377,20
970,2006-10-08,81,365,20
970,2006-10-08,82,352,20
970,2006-10-08,83,362,20
970,2006-10-08,84,329,21
970,2006-10-08,85,349,21
970,2006-10-08,86,292,21
970,2006-10-08,87,222,21
970,2006-10-08,88,229,22
970,2006-10-08,89,207,22
970,2006-10-08,90,202,22
970,2006-10-08,91,191,22
970,2006-10-08,92,170,23
970,2006-10-08,93,139,23
970,2006-10-08,94,110,23
970,2006-10-08,95,88,23
970,2006-10-09,0,87,0
970,2006-10-09,1,69,0
970,2006-10-09,2,51,0
970,2006-10-09,3,50,0
970,2006-10-09,4,30,1
970,2006-10-09,5,35,1
970,2006-10-09,6,34,1
970,2006-10-09,7,32,1
970,2006-10-09,8,20,2
970,2006-10-09,9,22,2
970,2006-10-09,10,23,2
970,2006-10-09,11,26,2
970,2006-10-09,12,12,3
970,2006-10-09,13,13,3
970,2006-10-09,14,19,3
970,2006-10-09,15,24,3
970,2006-10-09,16,34,4
970,2006-10-09,17,31,4
970,2006-10-09,18,48,4
970,2006-10-09,19,48,4
970,2006-10-09,20,77,5
970,2006-10-09,21,75,5
970,2006-10-09,22,121,5
970,2006-10-09,23,174,5
970,2006-10-09,24,236,6
970,2006-10-09,25,346,6
970,2006-10-09,26,597,6
970,2006-10-09,27,669,6
970,2006-10-09,28,779,7
970,2006-10-09,29,1015,7
970,2006-10-09,30,1147,7
970,2006-10-09,31,1248,7
970,2006-10-09,32,1257,8
970,2006-10-09,33,1284,8
970,2006-10-09,34,1226,8
970,2006-10-09,35,1222,8
970,2006-10-09,36,1061,9
970,2006-10-09,37,944,9
970,2006-10-09,38,862,9
970,2006-10-09,39,837,9
970,2006-10-09,40,768,10
970,2006-10-09,41,692,10
970,2006-10-09,42,788,10
970,2006-10-09,43,792,10
970,2006-10-09,44,776,11
970,2006-10-09,45,771,11
970,2006-10-09,46,820,11
970,2006-10-09,47,821,11
970,2006-10-09,48,844,12
970,2006-10-09,49,808,12
970,2006-10-09,50,802,12
970,2006-10-09,51,737,12
970,2006-10-09,52,779,13
970,2006-10-09,53,781,13
970,2006-10-09,54,889,13
970,2006-10-09,55,736,13
970,2006-10-09,56,782,14
970,2006-10-09,57,854,14
970,2006-10-09,58,849,14
970,2006-10-09,59,877,14
970,2006-10-09,60,913,15
970,2006-10-09,61,993,15
970,2006-10-09,62,1024,15
970,2006-10-09,63,1015,15
970,2006-10-09,64,1172,16
970,2006-10-09,65,1187,16
970,2006-10-09,66,1130,16
970,2006-10-09,67,1128,16
970,2006-10-09,68,1114,17
970,2006-10-09,69,1266,17
970,2006-10-09,70,1274,17
970,2006-10-09,71,1279,17
970,2006-10-09,72,1215,18
970,2006-10-09,73,1120,18
970,2006-10-09,74,945,18
970,2006-10-09,75,784,18
970,2006-10-09,76,695,19
970,2006-10-09,77,674,19
970,2006-10-09,78,528,19
970,2006-10-09,79,510,19
970,2006-10-09,80,441,20
970,2006-10-09,81,407,20
970,2006-10-09,82,396,20
970,2006-10-09,83,406,20
970,2006-10-09,84,425,21
970,2006-10-09,85,367,21
970,2006-10-09,86,321,21
970,2006-10-09,87,308,21
970,2006-10-09,88,311,22
970,2006-10-09,89,255,22
970,2006-10-09,90,232,22
970,2006-10-09,91,183,22
970,2006-10-09,92,147,23
970,2006-10-09,93,126,23
970,2006-10-09,94,93,23
970,2006-10-09,95,93,23
970,2006-10-10,0,80,0
970,2006-10-10,1,78,0
970,2006-10-10,2,42,0
970,2006-10-10,3,46,0
970,2006-10-10,4,46,1
970,2006-10-10,5,37,1
970,2006-10-10,6,36,1
970,2006-10-10,7,24,1
970,2006-10-10,8,25,2
970,2006-10-10,9,20,2
970,2006-10-10,10,14,2
970,2006-10-10,11,14,2
970,2006-10-10,12,22,3
970,2006-10-10,13,14,3
970,2006-10-10,14,27,3
970,2006-10-10,15,23,3
970,2006-10-10,16,28,4
970,2006-10-10,17,27,4
970,2006-10-10,18,42,4
970,2006-10-10,19,36,4
970,2006-10-10,20,60,5
970,2006-10-10,21,104,5
970,2006-10-10,22,138,5
970,2006-10-10,23,168,5
970,2006-10-10,24,264,6
970,2006-10-10,25,388,6
970,2006-10-10,26,625,6
970,2006-10-10,27,695,6
970,2006-10-10,28,820,7
970,2006-10-10,29,1017,7
970,2006-10-10,30,1185,7
970,2006-10-10,31,1206,7
970,2006-10-10,32,1296,8
970,2006-10-10,33,1278,8
970,2006-10-10,34,1294,8
970,2006-10-10,35,1248,8
970,2006-10-10,36,1086,9
970,2006-10-10,37,965,9
970,2006-10-10,38,969,9
970,2006-10-10,39,948,9
970,2006-10-10,40,838,10
970,2006-10-10,41,820,10
970,2006-10-10,42,824,10
970,2006-10-10,43,860,10
970,2006-10-10,44,859,11
970,2006-10-10,45,821,11
970,2006-10-10,46,838,11
970,2006-10-10,47,781,11
970,2006-10-10,48,808,12
970,2006-10-10,49,789,12
970,2006-10-10,50,898,12
970,2006-10-10,51,831,12
970,2006-10-10,52,781,13
970,2006-10-10,53,853,13
970,2006-10-10,54,777,13
970,2006-10-10,55,826,13
970,2006-10-10,56,832,14
970,2006-10-10,57,843,14
